,y
9,60.0
10,-290.0
11,-500.0
12,-670.0
13,-610.0
14,-440.0
15,-170.0
16,90.0
17,320.0
18,520.0
19,680.0
20,790.0
21,770.0
22,720.0
23,570.0
24,520.0
25,570.0
26,530.0
27,590.0
28,740.0
29,970.0
30,1360.0
31,1970.0
32,2680.0
33,3460.0
34,4120.0
35,4400.0
36,4320.0
37,3830.0
38,3160.0
39,2430.0
40,1580.0
41,840.0
42,320.0
43,30.0
44,-40.0
45,70.0
46,140.0
47,140.0
48,240.0
49,240.0
50,310.0
51,440.0
52,450.0
53,450.0
54,450.0
55,550.0
56,460.0
57,370.0
58,290.0
59,300.0
60,310.0
61,510.0
62,690.0
63,1030.0
64,1240.0
65,1430.0
66,1580.0
67,1690.0
68,1760.0
69,1710.0
70,1640.0
71,1750.0
72,1840.0
73,2020.0
74,2090.0
75,2240.0
76,2280.0
77,2220.0
78,2160.0
79,2000.0
80,1750.0
81,1620.0
82,1420.0
83,1350.0
84,1300.0
85,1280.0
86,1280.0
87,1380.0
88,1480.0
89,1570.0
90,1550.0
91,1530.0
92,1770.0
93,2250.0
94,2760.0
95,3020.0
96,3140.0
97,3050.0
98,2770.0
99,2500.0
100,2320.0
101,2130.0
102,1960.0
103,1930.0
104,2040.0
105,2080.0
106,2050.0
107,1940.0
108,1740.0
109,1460.0
110,1030.0
111,560.0
112,150.0
113,-190.0
114,-360.0
115,-290.0
116,-190.0
117,-160.0
118,70.0
119,290.0
120,480.0
121,720.0
122,910.0
123,1050.0
124,1060.0
125,1060.0
126,960.0
127,940.0
128,830.0
129,730.0
130,640.0
131,750.0
132,860.0
133,1060.0
134,1420.0
135,1650.0
136,1930.0
137,1990.0
138,1930.0
139,1760.0
140,1220.0
141,370.0
142,-570.0
143,-1660.0
144,-2490.0
145,-3170.0
146,-3600.0
147,-3720.0
148,-3560.0
149,-3240.0
150,-2810.0
151,-2410.0
152,-1970.0
153,-1620.0
154,-1350.0
155,-1250.0
156,-1300.0
157,-1470.0
158,-1550.0
159,-1450.0
160,-1090.0
161,-770.0
162,-480.0
163,-220.0
164,10.0
165,200.0
166,340.0
167,420.0
168,360.0
169,100.0
170,-130.0
171,-510.0
172,-840.0
173,-1030.0
174,-1450.0
175,-2070.0
176,-2410.0
177,-2400.0
178,-2440.0
179,-2090.0
180,-1750.0
181,-1440.0
182,-1340.0
183,-1510.0
184,-2040.0
185,-2290.0
186,-2270.0
187,-2070.0
188,-2350.0
189,-2750.0
190,-2620.0
191,-2280.0
192,-2310.0
193,-1980.0
194,-1640.0
195,-1270.0
196,-850.0
197,-550.0
198,-500.0
199,-250.0
200,40.0
201,560.0
202,1060.0
203,1390.0
204,1750.0
205,2410.0
206,3340.0
207,4490.0
208,5350.0
209,5600.0
210,5390.0
211,5060.0
212,4810.0
213,4440.0
214,4060.0
215,3980.0
216,4120.0
217,4230.0
218,4490.0
219,4480.0
220,4190.0
221,4270.0
222,4690.0
223,5130.0
224,5400.0
225,5720.0
226,5740.0
227,5570.0
228,5510.0
229,5430.0
230,5030.0
231,4830.0
232,4940.0
233,4800.0
234,4430.0
235,4140.0
236,4080.0
237,4210.0
238,4250.0
239,3940.0
240,3650.0
241,3940.0
242,4420.0
243,4320.0
244,3760.0
245,2880.0
246,1830.0
247,1380.0
248,1650.0
249,1720.0
250,1610.0
251,1580.0
252,1560.0
253,1410.0
254,1190.0
255,1140.0
256,1570.0
257,2560.0
258,3660.0
259,3930.0
260,3340.0
261,2790.0
262,2360.0
263,2380.0
264,2520.0
