ds,y
1996-04,65900.0
1996-05,65900.0
1996-06,65900.0
1996-07,66000.0
1996-08,66000.0
1996-09,66100.0
1996-10,66200.0
1996-11,66300.0
1996-12,66500.0
1997-01,66600.0
1997-02,66700.0
1997-03,66700.0
1997-04,66700.0
1997-05,66700.0
1997-06,66700.0
1997-07,66600.0
1997-08,66600.0
1997-09,66600.0
1997-10,66600.0
1997-11,66700.0
1997-12,66900.0
1998-01,67000.0
1998-02,67200.0
1998-03,67500.0
1998-04,67700.0
1998-05,67800.0
1998-06,68100.0
1998-07,68300.0
1998-08,68500.0
1998-09,68700.0
1998-10,69000.0
1998-11,69300.0
1998-12,69700.0
1999-01,70100.0
1999-02,70500.0
1999-03,71000.0
1999-04,71500.0
1999-05,72000.0
1999-06,72600.0
1999-07,73200.0
1999-08,73800.0
1999-09,74400.0
1999-10,75000.0
1999-11,75500.0
1999-12,76100.0
2000-01,76600.0
2000-02,77100.0
2000-03,77500.0
2000-04,77900.0
2000-05,78200.0
2000-06,78600.0
2000-07,78900.0
2000-08,79300.0
2000-09,79700.0
2000-10,80000.0
2000-11,80400.0
2000-12,80800.0
2001-01,81000.0
2001-02,81200.0
2001-03,81400.0
2001-04,81500.0
2001-05,81600.0
2001-06,81700.0
2001-07,81800.0
2001-08,81800.0
2001-09,81900.0
2001-10,82100.0
2001-11,82300.0
2001-12,82500.0
2002-01,82800.0
2002-02,83200.0
2002-03,83600.0
2002-04,84000.0
2002-05,84500.0
2002-06,85000.0
2002-07,85600.0
2002-08,86100.0
2002-09,86600.0
2002-10,87100.0
2002-11,87500.0
2002-12,87900.0
2003-01,88100.0
2003-02,88300.0
2003-03,88600.0
2003-04,89000.0
2003-05,89400.0
2003-06,89700.0
2003-07,90000.0
2003-08,90300.0
2003-09,90600.0
2003-10,90900.0
2003-11,91200.0
2003-12,91700.0
2004-01,92300.0
2004-02,93200.0
2004-03,94000.0
2004-04,94800.0
2004-05,95600.0
2004-06,96300.0
2004-07,97000.0
2004-08,97900.0
2004-09,98800.0
2004-10,99700.0
2004-11,100600.0
2004-12,101500.0
2005-01,102400.0
2005-02,103200.0
2005-03,103800.0
2005-04,104300.0
2005-05,104600.0
2005-06,104800.0
2005-07,104800.0
2005-08,104700.0
2005-09,104500.0
2005-10,104300.0
2005-11,104200.0
2005-12,104100.0
2006-01,104100.0
2006-02,104200.0
2006-03,104300.0
2006-04,104600.0
2006-05,105000.0
2006-06,105300.0
2006-07,105600.0
2006-08,105800.0
2006-09,105900.0
2006-10,106000.0
2006-11,106100.0
2006-12,106000.0
2007-01,106000.0
2007-02,105900.0
2007-03,105900.0
2007-04,106100.0
2007-05,106500.0
2007-06,106900.0
2007-07,107300.0
2007-08,107700.0
2007-09,108100.0
2007-10,108200.0
2007-11,108200.0
2007-12,107800.0
2008-01,107200.0
2008-02,106200.0
2008-03,105000.0
2008-04,103600.0
2008-05,102200.0
2008-06,100800.0
2008-07,99500.0
2008-08,98400.0
2008-09,97500.0
2008-10,96600.0
2008-11,95800.0
2008-12,95000.0
2009-01,94200.0
2009-02,93400.0
2009-03,92600.0
2009-04,91800.0
2009-05,90900.0
2009-06,90100.0
2009-07,89500.0
2009-08,89100.0
2009-09,88900.0
2009-10,88700.0
2009-11,88700.0
2009-12,88800.0
2010-01,88900.0
2010-02,89000.0
2010-03,89100.0
2010-04,89000.0
2010-05,88800.0
2010-06,88500.0
2010-07,87900.0
2010-08,87300.0
2010-09,86800.0
2010-10,86200.0
2010-11,85300.0
2010-12,84300.0
2011-01,83700.0
2011-02,83400.0
2011-03,82800.0
2011-04,82200.0
2011-05,82100.0
2011-06,82500.0
2011-07,82700.0
2011-08,82100.0
2011-09,81400.0
2011-10,81200.0
2011-11,81300.0
2011-12,81400.0
2012-01,81600.0
2012-02,81700.0
2012-03,81900.0
2012-04,82100.0
2012-05,82000.0
2012-06,81400.0
2012-07,81400.0
2012-08,81900.0
2012-09,82200.0
2012-10,82000.0
2012-11,82000.0
2012-12,81800.0
2013-01,81500.0
2013-02,81600.0
2013-03,81800.0
2013-04,81500.0
2013-05,81600.0
2013-06,82100.0
2013-07,82700.0
2013-08,83100.0
2013-09,83800.0
2013-10,84400.0
2013-11,85000.0
2013-12,85600.0
2014-01,85700.0
2014-02,85500.0
2014-03,85800.0
2014-04,86200.0
2014-05,86400.0
2014-06,86600.0
2014-07,87200.0
2014-08,88000.0
2014-09,88900.0
2014-10,89400.0
2014-11,89800.0
2014-12,90500.0
2015-01,91400.0
2015-02,91900.0
2015-03,92400.0
2015-04,93500.0
2015-05,95600.0
2015-06,97400.0
2015-07,98700.0
2015-08,99300.0
2015-09,99500.0
2015-10,99900.0
2015-11,100700.0
2015-12,102300.0
2016-01,104300.0
2016-02,105600.0
2016-03,106400.0
2016-04,107400.0
2016-05,108900.0
2016-06,110400.0
2016-07,112100.0
2016-08,114300.0
2016-09,116300.0
2016-10,117700.0
2016-11,118600.0
2016-12,119300.0
2017-01,120100.0
2017-02,121300.0
2017-03,122300.0
2017-04,123400.0
2017-05,124200.0
2017-06,124400.0
2017-07,123500.0
2017-08,122900.0
2017-09,122800.0
2017-10,123700.0
2017-11,124800.0
2017-12,125900.0
2018-01,125700.0
2018-02,126600.0
2018-03,129600.0
2018-04,132300.0
